Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.0,6110.0,5660.0,6110.0,4675.78271484375,74195000
2000-01-05,5800.0,6060.0,5520.0,5580.0,4270.19189453125,74680000
2000-01-06,5750.0,5780.0,5580.0,5620.0,4300.8017578125,54390000
2000-01-07,5560.0,5670.0,5360.0,5540.0,4239.5810546875,40305000
2000-01-10,5600.0,5770.0,5580.0,5770.0,4415.59130859375,46880000
2000-01-11,5820.0,6100.0,5770.0,5770.0,4415.59130859375,59745000
2000-01-12,5610.0,5740.0,5600.0,5720.0,4377.330078125,29220000
2000-01-13,5600.0,5740.0,5560.0,5710.0,4369.677734375,41190000
2000-01-14,5720.0,5880.0,5680.0,5830.0,4461.50927734375,49375000
2000-01-17,6000.0,6180.0,5920.0,6100.0,4668.12939453125,63505000
2000-01-18,6160.0,6160.0,5980.0,6100.0,4668.12939453125,45260000
2000-01-19,6000.0,6040.0,5960.0,5960.0,4560.9921875,40205000
2000-01-20,5860.0,6040.0,5820.0,6040.0,4622.21533203125,37315000
2000-01-21,5950.0,5980.0,5880.0,5880.0,4499.77197265625,32535000
2000-01-24,5800.0,5900.0,5700.0,5700.0,4362.02294921875,34355000
2000-01-25,5520.0,5640.0,5440.0,5440.0,4163.05419921875,44250000
2000-01-26,5500.0,5520.0,5410.0,5480.0,4193.6650390625,29285000
2000-01-27,5480.0,5620.0,5430.0,5520.0,4224.27587890625,27900000
2000-01-28,5640.0,5880.0,5540.0,5820.0,4453.8564453125,38315000
2000-01-31,5640.0,5730.0,5560.0,5580.0,4270.19189453125,39630000
2000-02-01,5600.0,5680.0,5260.0,5320.0,4071.222412109375,71470000
2000-02-02,5220.0,5370.0,5110.0,5250.0,4017.65283203125,64105000
2000-02-03,5250.0,5460.0,4970.0,5130.0,3925.821044921875,142765000
2000-02-04,5130.0,5130.0,5130.0,5130.0,3925.821044921875,0
2000-02-07,5140.0,5330.0,5040.0,5240.0,4010.0009765625,64140000
2000-02-08,5340.0,5480.0,5310.0,5430.0,4155.40185546875,58460000
2000-02-09,5560.0,5720.0,5480.0,5720.0,4377.330078125,51050000
2000-02-10,5660.0,5880.0,5600.0,5760.0,4407.9404296875,61845000
2000-02-11,5960.0,5960.0,5680.0,5700.0,4362.02294921875,34660000
2000-02-14,5600.0,5660.0,5340.0,5380.0,4117.1376953125,44140000
2000-02-15,5380.0,5420.0,5140.0,5200.0,3979.390380859375,38315000
2000-02-16,5180.0,5200.0,4780.0,5000.0,3826.33642578125,73115000
2000-02-17,4940.0,5100.0,4910.0,5080.0,3887.55712890625,65185000
2000-02-18,5370.0,5630.0,5160.0,5300.0,4055.916259765625,108750000
2000-02-21,5200.0,5260.0,5030.0,5070.0,3879.905029296875,26485000
2000-02-22,5000.0,5240.0,5000.0,5120.0,3918.16845703125,24180000
2000-02-23,5220.0,5260.0,5100.0,5140.0,3933.473876953125,27720000
2000-02-24,5120.0,5240.0,5060.0,5070.0,3879.905029296875,26075000
